95024497	test	{"id":0,"time":"2015-07-13 09:00:00.000000000 +0900","name":"Vqjht6YEUBsMPXmoW1iOGFROZF27pBzz0TUkOKeDXEY","score":1370.0}
21536856	test	{"id":1,"time":"2015-07-13 09:00:00.000000000 +0900","name":"VmjbjAA0tOoSEPv_vKAGMtD_0aXZji0abGe7_VXHmUQ","score":3962.0}
83443236	test	{"id":2,"time":"2015-07-13 09:00:00.000000000 +0900","name":"C40P5H1WcBx-aWFDJCI8th6QPEI2DOUgupt_gB8UutE","score":7323.0}
93861404	test	{"id":3,"time":"2015-07-13 09:00:00.000000000 +0900","name":"Prr0_u_T1ts4myUofBorOJFpCYcOTLOmNBMuRmKIPJU","score":5905.0}
87679692	test	{"id":4,"time":"2015-07-13 09:00:00.000000000 +0900","name":"AEGIhHVW5cV6Xlb62uvx3TVl3kmh3Do8AvvtLDS7MDw","score":8378.0}
43930013	test	{"id":5,"time":"2015-07-13 09:00:00.000000000 +0900","name":"eupqWLrnCHr_1UaX4dUInLRxx5Q_cyQ4t0oSJBcw0MA","score":275.0}
43529094	test	{"id":6,"time":"2015-07-13 09:00:00.000000000 +0900","name":"BN8cQ47EXRb_oCGOoN96bhBldoiyoCp5O_vGHwg0XCg","score":9303.0}
85927476	test	{"id":7,"time":"2015-07-13 09:00:00.000000000 +0900","name":"RvV35-6jY6MC9_Wnm4nPsmyyfqcr-hlnBt88sXtn1nU","score":6130.0}
34592766	test	{"id":8,"time":"2015-07-13 09:00:00.000000000 +0900","name":"6OZiuPiJKjWNLMPgiEbJarB0F80lTPYkkePP8LMliv0","score":6652.0}
77628245	test	{"id":9,"time":"2015-07-13 09:00:00.000000000 +0900","name":"13CgEU_ApAMVE6Ll6Y-mSu-aubskNgHbynj2rj8f8oE","score":6822.0}
17385490	test	{"id":10,"time":"2015-07-13 09:00:00.000000000 +0900","name":"j1evoWRzKrJR0sfo014ZxhZtKigWDkRip5FwpAHAsmU","score":1311.0}
46045086	test	{"id":11,"time":"2015-07-13 09:00:00.000000000 +0900","name":"4vBBBcArfMGhediXV5Sn80hj4KkI4nUCllECNKxNgnI","score":4748.0}
7917166	test	{"id":12,"time":"2015-07-13 09:00:00.000000000 +0900","name":"6LSLQGjv46TWsvXrxYCfM5yIz4JGiGd1eEQI4TC-4yc","score":43.0}
80788469	test	{"id":13,"time":"2015-07-13 09:00:00.000000000 +0900","name":"bgLJeacIPOMH6sDb5tEmca1oYyaMdfqZomGEI2uby7k","score":1214.0}
84283020	test	{"id":14,"time":"2015-07-13 09:00:00.000000000 +0900","name":"bRHc-42RqKVv3ORxhVCA4T4dLEXyBzBCQoed8VOrDCo","score":7048.0}
66954504	test	{"id":15,"time":"2015-07-13 09:00:00.000000000 +0900","name":"ysiB3w-K5jb3FxpQY61OHYTlK9qklz3nW84RLvBnh9s","score":8795.0}
70412121	test	{"id":16,"time":"2015-07-13 09:00:00.000000000 +0900","name":"Rvn7-tMbQM3q0yWQD8AUdURhFB0ZkzLGdIiDg-AJokM","score":7838.0}
29260917	test	{"id":17,"time":"2015-07-13 09:00:00.000000000 +0900","name":"FDEI99QVJ8xRTOiQ-UDVlPMOBfuA0IwIAbJ872XnKOo","score":9507.0}
34106613	test	{"id":18,"time":"2015-07-13 09:00:00.000000000 +0900","name":"lZUazYHDEGbQbzN7vEFeLjmnzp1wsjR0D8r8f7Cs6x0","score":3378.0}
61586301	test	{"id":19,"time":"2015-07-13 09:00:00.000000000 +0900","name":"WmDFEQsDPSnVs8AiAdO3QJqlSFer1K0I8z7F0cl_WRk","score":1661.0}
